date, pm25, pm10, o3, no2, so2, co
2024/2/22, 44, 26, , 8, 3, 4
2024/2/23, 56, 37, , 13, 4, 5
2024/2/24, 65, 59, , 13, 5, 5
2024/2/25, 127, 70, , 13, 4, 7
2024/2/26, 125, 63, , 15, 4, 7
2024/2/27, 110, 58, , 15, 4, 5
2024/2/28, 86, 81, , 24, 5, 11
2024/2/29, 142, 38, , 7, 3, 3
2024/3/1, 77, 28, , 7, 2, 1
2024/3/2, 43, 71, , 14, 2, 5
2024/3/3, 129, 54, , 16, 4, 7
2024/3/4, 101, 61, , 18, 5, 7
2024/3/5, 115, 65, , 13, 4, 6
2024/3/6, 124, 79, , 20, 3, 7
2024/3/7, 161, 66, , 19, 3, 5
2024/3/8, 122, 20, , 9, 2, 2
2024/3/9, 33, 60, , 21, 3, 4
2024/3/10, 105, 87, , 16, 4, 6
2024/3/11, 163, 117, , 28, 6, 10
2024/3/12, 181, 86, , 14, 5, 7
2024/3/13, 158, 76, , 22, 3, 5
2024/3/14, 154, 105, , 20, 4, 6
2024/3/15, 168, 82, , 12, 4, 5
2024/3/16, 150, 98, , 19, 4, 5
2024/3/17, 143, 54, , 6, 2, 2
2024/3/18, 47, 90, , 17, 5, 4
2024/3/19, 130, 106, , 5, 2, 1
2024/3/20, 55, 54, , 10, 2, 3
2024/3/21, 55, 77, , 23, 5, 6
2024/3/22, 129, 66, , 14, 3, 6
2024/3/23, 114, 96, , 37, 7, 14
2024/3/24, 158, 63, , 16, 4, 8
2024/3/25, 103, 59, , 18, 2, 7
2024/3/26, 126, 58, , 14, 3, 8
2024/3/27, 138, 73, , 18, 3, 5
2024/3/28, 153, 294, , 11, 3, 3
2024/3/29, 126, 127, , 12, 3, 3
2024/3/30, 113, 73, , 15, 3, 3
2024/3/31, 126, 84, , 22, 5, 7
2023/10/1, 53, 52, , 19, 4, 5
2023/10/2, 98, 41, , 12, 3, 4
2023/10/3, 71, 35, , 11, 3, 4
2023/10/4, 67, 29, , 14, 4, 4
2023/10/5, 48, 67, , 22, 4, 5
2023/10/6, 121, 63, , 23, 4, 4
2023/10/7, 111, 55, , 23, 3, 4
2023/10/8, 106, 36, , 13, 2, 4
2023/10/9, 64, 35, , 20, 3, 6
2023/10/10, 61, 48, , 25, 3, 7
2023/10/11, 94, 53, , 20, 4, 6
2023/10/12, 107, 45, , 18, 4, 4
2023/10/13, 97, 25, , 22, 2, 2
2023/10/14, 43, 62, , 27, 4, 5
2023/10/15, 105, 38, , 20, 3, 4
2023/10/16, 51, 68, , 22, 5, 6
2023/10/17, 110, 37, , 12, 2, 4
2023/10/18, 81, 22, , 12, 2, 1
2023/10/19, 30, 19, , 10, 3, 1
2023/10/20, 23, 45, , 23, 3, 2
2023/10/21, 78, 93, , 33, 5, 6
2023/10/22, 166, 98, , 37, 5, 8
2023/10/23, 171, 112, , 33, 4, 9
2023/10/24, 179, 137, , 48, 4, 11
2023/10/25, 199, 40, , 17, 3, 5
2023/10/26, 65, 60, , 24, 3, 6
2023/10/27, 84, 109, , 30, 4, 9
2023/10/28, 171, 123, , 27, 4, 10
2023/10/30, 197, 125, , 22, 4, 13
2023/10/31, 204, 121, , 21, 2, 13
2023/11/1, 191, 135, , 17, 2, 15
2023/11/2, 226, 95, , 16, 3, 9
2023/11/3, 151, 30, , 9, 2, 2
2023/11/4, 27, 46, , 19, 3, 6
2023/11/5, 56, 40, , 15, 3, 5
2023/11/6, 59, 43, , 8, 2, 1
2023/11/7, 42, 45, , 22, 3, 4
2023/11/8, 73, 74, , 30, 4, 8
2023/11/9, 136, 27, , 11, 2, 3
2023/11/10, 57, 16, , 7, 1, 1
2023/11/11, 22, 33, , 21, 3, 3
2023/11/12, 59, 22, , 11, 2, 1
2023/11/13, 44, 49, , 23, 2, 3
2023/11/14, 99, 98, , 34, 4, 8
2023/11/15, 177, 127, , 36, 4, 10
2023/11/16, 207, 40, , 22, 2, 4
2023/11/17, 62, 19, , 8, 1, 1
2023/11/18, 18, 49, , 22, 3, 5
2023/11/19, 89, 64, , 26, 3, 7
2023/11/20, 100, 84, , 31, 5, 9
2023/11/21, 144, 126, , 30, 3, 11
2023/11/22, 199, 124, , 32, 3, 12
2023/11/23, 190, 35, , 7, 2, 1
2023/11/24, 19, 21, , 9, 2, 1
2023/11/25, 28, 42, , 28, 3, 4
2023/11/26, 75, 72, , 32, 5, 8
2023/11/27, 145, 64, , 26, 4, 7
2023/11/28, 113, 22, , 14, 2, 3
2023/11/29, 33, 25, , 9, 1, 2
2023/11/30, 32, 40, , 10, 2, 2
2023/12/1, 43, 34, , 14, 2, 4
2023/12/2, 54, 54, , 24, 3, 6
2023/12/3, 98, 83, , 31, 5, 9
2023/12/4, 147, 111, , 38, 5, 11
2023/12/5, 185, 143, , 51, 5, 16
2023/12/6, 220, 108, , 18, 2, 4
2023/12/7, 103, 149, , 33, 4, 9
2023/12/8, 165, 165, , 50, 6, 14
2023/12/9, 187, 67, , 15, 4, 5
2023/12/10, 70, 53, , 10, 4, 5
2023/12/11, 64, 39, , 10, 2, 2
2023/12/12, 61, 96, , 18, 1, 8
2023/12/13, 173, 49, , 19, 3, 9
2023/12/14, 111, 39, , 10, 1, 4
2023/12/15, 85, 21, , 6, 1, 1
2023/12/16, 46, 17, , 5, 1, 1
2023/12/17, 33, 32, , 14, 1, 3
2023/12/18, 72, 64, , 30, 4, 6
2023/12/19, 149, 43, , 17, 2, 5
2023/12/20, 88, 16, , 7, 1, 1
2023/12/21, 34, 27, , 10, , 3
2023/12/22, 41, 54, , 25, 1, 5
2023/12/23, 98, 65, , 31, 2, 8
2023/12/24, 139, 70, , 31, 2, 8
2023/12/25, 145, 112, , 41, 3, 14
2023/12/26, 198, 76, , 31, 3, 11
2023/12/27, 142, 39, , 23, 4, 10
2023/12/28, 79, 73, , 30, 2, 9
2023/12/29, 158, 105, , 34, 1, 11
2023/12/30, 197, 133, , 41, 1, 14
2023/12/31, 243, 36, , 11, 1, 6
2024/1/1, 71, 70, , 19, 1, 7
2023/7/1, 62, 50, , 10, 2, 5
2023/7/2, 92, 44, , 10, 3, 7
2023/7/3, 92, 26, , 6, 2, 5
2023/7/4, 64, 48, , 9, 2, 4
2023/7/5, 69, 66, , 12, 3, 5
2023/7/6, 85, 52, , 6, 2, 5
2023/7/7, 95, 27, , 8, 2, 3
2023/7/8, 45, 22, , 9, 2, 3
2023/7/9, 37, 47, , 11, 3, 6
2023/7/10, 82, 41, , 6, 2, 8
2023/7/11, 93, 31, , 8, 2, 8
2023/7/12, 94, 47, , 7, 1, 10
2023/7/13, 116, 29, , 8, 2, 7
2023/7/14, 70, 13, , 6, 2, 4
2023/7/15, 28, 27, , 11, 2, 5
2023/7/16, 51, 34, , 8, 3, 6
2023/7/17, 73, 44, , 9, 2, 7
2023/7/18, 92, 53, , 10, 2, 6
